8:00-9:30,9:50-11:20,11:40-13:10,13:45-15:15,15:35-17:05,17:25-18:55
monday,null/null/null/null,null/null/null/null,Физкультура/практика/null/Кафедра физ-ры,Организация ЭВМ и систем/Лекция/Костичев/1158,Алгоритмы и структуры данных/практика/Колинько/УИТ1,Организация ЭВМ и систем/практика/Костичев/2129
tuesday,null/null/null/null,null/null/null/null,ТОЭ/Лекция/Соловьева/5423,Иностранный язык/практика/null/кафедра ин.яз,Мат. Логика и теория алгоритмов/практика/Иванов/4211,ТОЭ/практика/Гарчук/4210
wednesday,null/null/null/null,null/null/null/null,null/null/null/null,Мат. Анализ/Лекция/Крашкилдестрой/3132,Физкультура/практика/null/Кафедра физ-ры,null/null/null/null
thursday,null/null/null/null,Физика/Лекция/Дедык/3238,Правоведение/Лекция/Лазаренкова/5143,Экономическая теория/практика/Баранова/2318,Алгоритмы и структуры данных/Лекция/Колинько/1158,null/null/null/null
friday,null/null/null/null,null/null/null/null,null/null/null/null,null/null/null/null,null/null/null/null,null/null/null/null
saturday,null/null/null/null,Экономическая теория/Лекция/Яковлев/5405,Мат. Логика и теория алгоритмов/Лекция/Поздняков/5405,null/null/null/null,null/null/null/null,null/null/null/null
monday,null/null/null/null,null/null/null/null,Физкультура/практика/null/Кафедра физ-ры,Организация ЭВМ и систем/Лекция/Костичев/1158,Алгоритмы и структуры данных/практика/Колинько/УИТ1,Организация ЭВМ и систем/практика/Костичев/2129
tuesday,null/null/null/null,null/null/null/null,ТОЭ/Лекция/Соловьева/5423,Иностранный язык/практика/null/кафедра ин.яз,Мат. Логика и теория алгоритмов/практика/Иванов/4211,ТОЭ/практика/Гарчук/4210
wednesday,null/null/null/null,null/null/null/null,null/null/null/null,Мат. Анализ/Лекция/Крашкилдестрой/3132,Физкультура/практика/null/Кафедра физ-ры,null/null/null/null
thursday,null/null/null/null,Физика/Лекция/Дедык/3238,Правоведение/Лекция/Лазаренкова/5143,Мат. Анализ/практика/Стежко/2411,Алгоритмы и структуры данных/Лекция/Колинько/1158,null/null/null/null
friday,null/null/null/null,null/null/null/null,null/null/null/null,null/null/null/null,null/null/null/null,null/null/null/null
saturday,null/null/null/null,Правоведение/практика/null/5416,Мат. Логика и теория алгоритмов/Лекция/Поздняков/5405,Физика/Практика/Письменский/3428,Физика/Лабораторные работы/null/кафедра физики,null/null/null/null